Issue Type,Summary,Epic Name,Epic Link,Labels,Fix Version,GitHub Ref,Description
Story,Info/data graphing,,RPE-E4 Pro-forma,rpe;migrated-from-github,v1.0.0,#3,"Charts for projection/returns. Migrated from GH #3."
Story,Depreciation + after-tax cash flow,,RPE-E4 Pro-forma,rpe,v1.0.0,,"27.5yr residential depreciation; taxable income; after-tax CF at marginal rate."
Story,IRR / NPV / equity multiple,,RPE-E4 Pro-forma,rpe,v1.0.0,,"Proper multi-period IRR (Newton+bisection), NPV at discount rate, equity multiple."
Story,Exit/sale modeling + total profit,,RPE-E4 Pro-forma,rpe,v1.0.0,,"Projected sale price, selling costs, remaining balance, net proceeds, total profit."
Story,Screener<->pro-forma toggle (progressive disclosure),,RPE-E4 Pro-forma,rpe,v1.0.0,,"Default screener; advanced pro-forma inputs revealed on toggle."
Epic,WordPress block,RPE-E5 WP Block,,rpe,v1.0.0,,"Gutenberg block embedding the shared engine/UI. Phase 5."
Story,Gutenberg block mounting shared UI,,RPE-E5 WP Block,rpe,v1.0.0,,"apps/wp-block registers block, mounts @rpe/ui root, enqueues engine bundle."
Story,WPCS/Plugin Check-clean PHP wrapper + i18n,,RPE-E5 WP Block,rpe,v1.0.0,,"Sanitize/escape; Plugin Check-ready; i18n-wrapped strings."
Epic,Launch (1.0.0),RPE-E6 Launch,,rpe,v1.0.0,,"SEO, ads, optional API, polish, tag v1.0.0. Phase 6."
Story,SEO meta/OG + prerender,,RPE-E6 Launch,rpe;migrated-from-github,v1.0.0,#46,"Meta/OG tags; prerender or SSR. Migrated from GH #46."
Story,Gated ad slots,,RPE-E6 Launch,rpe;migrated-from-github,v1.0.0,#47,"Ad slot component, gated. SPA only. Migrated from GH #47."
Story,Optional thin calc API,,RPE-E6 Launch,rpe;migrated-from-github,v1.0.0,#56;#48,"Thin HTTP wrapper over headless engine. Migrated from GH #56 and #48."
Story,a11y + perf budget pass,,RPE-E6 Launch,rpe,v1.0.0,,"Accessibility audit; performance budget."
Story,Tag v1.0.0 + release notes + deploy,,RPE-E6 Launch,rpe,v1.0.0,,"Cut release, write notes, deploy SPA + publish WP block."
